clip_id,path,tags,notes,expect_analysis_mode,expect_min_measured
pc01,evaluation/clips/01_phone_clean.mp4,phone_clean,Golden anchor — single shooter good light,,
pc02,evaluation/clips/02_phone_clean_portrait.mp4,phone_clean,Portrait phone capture,,
ll01,evaluation/clips/03_phone_low_light.mp4,phone_low_light,Dark gym or evening,,
fs01,evaluation/clips/04_phone_far_subject.mp4,phone_far_subject,Shooter small in frame,,
yt01,evaluation/clips/05_yt_short_reencode.mp4,yt_short_reencode,Downloaded Short H.264,,
yt02,evaluation/clips/06_yt_short_overlay.mp4,"yt_short_reencode,occlusion",Short with on-screen text/graphics,,
bc01,evaluation/clips/07_broadcast_crop.mp4,broadcast_crop,TV or wide court shot,,
svft01,evaluation/clips/08_side_view_ft.mp4,side_view_ft,Free throw side angle,,
svft02,evaluation/clips/09_side_view_ft_2.mp4,side_view_ft,Second FT side clip,,
svj01,evaluation/clips/10_side_view_jumper.mp4,side_view_jumper,Jump shot side angle,,
svj02,evaluation/clips/11_side_view_jumper_2.mp4,side_view_jumper,Second jumper side,,
mp01,evaluation/clips/12_multi_person.mp4,multi_person,Defender or second body visible,,
mp02,evaluation/clips/13_multi_person_pickup.mp4,multi_person,Pickup run with extras,,
oc01,evaluation/clips/14_occlusion.mp4,occlusion,Limb or partial body hide,,
oc02,evaluation/clips/15_occlusion_ball.mp4,"occlusion,side_view_jumper",Ball occludes arm briefly,,
vf01,evaluation/clips/16_vfr_hevc.mp4,vfr_hevc,iPhone HEVC/VFR before normalize,,
vf02,evaluation/clips/17_vfr_hevc_2.mp4,vfr_hevc,Second HEVC sample,,
pc03,evaluation/clips/18_phone_clean_anchor.mp4,phone_clean,Second clean regression anchor,,
sc01,evaluation/clips/19_short_clip.mp4,short_clip,Under ~1s usable motion,,
sc02,evaluation/clips/20_short_clip_extreme.mp4,short_clip,Very short decode window,,
mix01,evaluation/clips/21_mixed_light.mp4,"phone_low_light,phone_clean",Mixed lighting transition,,
mix02,evaluation/clips/22_sideline_broadcast.mp4,"broadcast_crop,side_view_jumper",Sideline TV-style,,
fj01,evaluation/clips/23_front_jump_phone.mp4,phone_clean,Front-ish jump shot phone,,
mix03,evaluation/clips/24_reencode_multi.mp4,"yt_short_reencode,multi_person",Short + crowd,,
